instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x0, IP = 0x0, SP = 0x80000000, LR = 0x0, PC = 0x8514, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48
instruction : add / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x0, IP = 0x0, SP = 0x7ffffff8, LR = 0x0, PC = 0x8518, CPSR = 0x400001d3 / modified register : ['fp'] / memory data : \x4\xb0
instruction : sub / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff8, LR = 0x0, PC = 0x851c, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \xb0\xd0
instruction : mov / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8520, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x1\x30
instruction : str / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8524, CPSR = 0x400001d3 / modified register : [] / memory data : \xc\x30
instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8528, CPSR = 0x400001d3 / modified register : ['r2'] / memory data : \xec\x20
instruction : sub / register data :R0 = 0x0, R1 = 0x0, R2 = 0x8d04, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x852c, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x18\x30
instruction : ldm / register data :R0 = 0x0, R1 = 0x0, R2 = 0x8d04, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8530, CPSR = 0x400001d3 / modified register : ['r0', 'r1', 'r2'] / memory data : \x7\x0
instruction : stm / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8534, CPSR = 0x400001d3 / modified register : [] / memory data : \x7\x0
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8538, CPSR = 0x400001d3 / modified register : ['r2'] / memory data : \xe0\x20
instruction : sub / register data :R0 = 0x0, R1 = 0x42, R2 = 0x8d10, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x853c, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x24\x30
instruction : ldm / register data :R0 = 0x0, R1 = 0x42, R2 = 0x8d10, R3 = 0x7fffffd8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8540, CPSR = 0x400001d3 / modified register : ['r0', 'r1', 'r2'] / memory data : \x7\x0
instruction : stm / register data :R0 = 0x0, R1 = 0x37, R2 = 0x94, R3 = 0x7fffffd8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8544, CPSR = 0x400001d3 / modified register : [] / memory data : \x7\x0
instruction : mov / register data :R0 = 0x0, R1 = 0x37, R2 = 0x94, R3 = 0x7fffffd8, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8548, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x0\x30
instruction : str / register data :R0 = 0x0, R1 = 0x37, R2 = 0x94, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x854c, CPSR = 0x400001d3 / modified register : [] / memory data : \x2c\x30
instruction : mov / register data :R0 = 0x0, R1 = 0x37, R2 = 0x94, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8550, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x40\x30
instruction : str / register data :R0 = 0x0, R1 = 0x37, R2 = 0x94, R3 = 0x40, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8554, CPSR = 0x400001d3 / modified register : [] / memory data : \x28\x30
instruction : ldr / register data :R0 = 0x0, R1 = 0x37, R2 = 0x94, R3 = 0x40, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8558, CPSR = 0x400001d3 / modified register : ['r2'] / memory data : \xc4\x20
instruction : sub / register data :R0 = 0x0, R1 = 0x37, R2 = 0x8d1c, R3 = 0x40, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x855c, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \xa8\x30
instruction : mov / register data :R0 = 0x0, R1 = 0x37, R2 = 0x8d1c, R3 = 0x7fffff54, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8560, CPSR = 0x400001d3 / modified register : ['r1'] / memory data : \x2\x10
instruction : mov / register data :R0 = 0x0, R1 = 0x8d1c, R2 = 0x8d1c, R3 = 0x7fffff54, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8564, CPSR = 0x400001d3 / modified register : ['r2'] / memory data : \x7c\x20
instruction : mov / register data :R0 = 0x0, R1 = 0x8d1c, R2 = 0x7c, R3 = 0x7fffff54, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x8568, CPSR = 0x400001d3 / modified register : ['r0'] / memory data : \x3\x0
instruction : bl / register data :R0 = 0x7fffff54, R1 = 0x8d1c, R2 = 0x7c, R3 = 0x7fffff54, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x0, PC = 0x856c, CPSR = 0x400001d3 / modified register : ['lr', 'pc'] / memory data : \x4f\x0
instruction : cmp / register data :R0 = 0x7fffff54, R1 = 0x8d1c, R2 = 0x7c, R3 = 0x7fffff54, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8570, PC = 0x86b0, CPSR = 0x400001d3 / modified register : ['cpsr'] / memory data : \xf\x0
instruction : bls / register data :R0 = 0x7fffff54, R1 = 0x8d1c, R2 = 0x7c, R3 = 0x7fffff54, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8570, PC = 0x86b4, CPSR = 0x200001d3 / modified register : ['pc'] / memory data : \x37\x0
instruction : orr / register data :R0 = 0x7fffff54, R1 = 0x8d1c, R2 = 0x7c, R3 = 0x7fffff54, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8570, PC = 0x86b8, CPSR = 0x200001d3 / modified register : ['r3'] / memory data : \x1\x30
instruction : tst / register data :R0 = 0x7fffff54, R1 = 0x8d1c, R2 = 0x7c, R3 = 0x7fffff5c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8570, PC = 0x86bc, CPSR = 0x200001d3 / modified register : ['cpsr'] / memory data : \x3\x0
instruction : bne / register data :R0 = 0x7fffff54, R1 = 0x8d1c, R2 = 0x7c, R3 = 0x7fffff5c, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8570, PC = 0x86c0, CPSR = 0x600001d3 / modified register : ['pc'] / memory data : \x40\x0
