instruction : push / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x80000000, LR = 0x8018, PC = 0x8514, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \x0\x48
instruction : add / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x80000000, IP = 0x0, SP = 0x7ffffff8, LR = 0x8018, PC = 0x8518, CPSR = 0x400001d3 / modified register : ['fp'] / memory data : \x4\xb0
instruction : sub / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff8, LR = 0x8018, PC = 0x851c, CPSR = 0x400001d3 / modified register : ['sp'] / memory data : \xb0\xd0
instruction : mov / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x0, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x8520, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x4\x30
instruction : str / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x8524, CPSR = 0x400001d3 / modified register : [] / memory data : \xc\x30
instruction : ldr / register data :R0 = 0x0, R1 = 0x0, R2 = 0x0, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x8528, CPSR = 0x400001d3 / modified register : ['r2'] / memory data : \xec\x20
instruction : sub / register data :R0 = 0x0, R1 = 0x0, R2 = 0x8d04, R3 = 0x4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x852c, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x18\x30
instruction : ldm / register data :R0 = 0x0, R1 = 0x0, R2 = 0x8d04, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x8530, CPSR = 0x400001d3 / modified register : ['r0', 'r1', 'r2'] / memory data : \x7\x0
instruction : stm / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x8534, CPSR = 0x400001d3 / modified register : [] / memory data : \x7\x0
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x58, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x8538, CPSR = 0x400001d3 / modified register : ['r2'] / memory data : \xe0\x20
instruction : sub / register data :R0 = 0x0, R1 = 0x42, R2 = 0x8d10, R3 = 0x7fffffe4, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffff48, LR = 0x8018, PC = 0x853c, CPSR = 0x400001d3 / modified register : ['r3'] / memory data : \x24\x30
